,realAltitude,kalmanAltitude
446,1549.99,1548.67
447,1549.99,1548.68
448,1549.8,1548.69
449,1550.08,1548.7
450,1549.8,1548.71
451,1549.99,1548.72
452,1550.08,1548.73
453,1550.28,1548.74
454,1550.08,1548.75
455,1549.8,1548.76
456,1550.28,1548.77
457,1549.8,1548.78
458,1549.99,1548.79
459,1549.99,1548.8
460,1550.66,1548.82
461,1550.08,1548.83
462,1549.6,1548.83
463,1550.18,1548.84
464,1550.18,1548.85
465,1549.99,1548.86
466,1550.47,1548.88
467,1550.08,1548.89
468,1549.7,1548.89
469,1549.89,1548.9
470,1549.89,1548.91
471,1549.41,1548.91
472,1549.7,1548.92
473,1549.7,1548.93
474,1549.99,1548.94
475,1549.7,1548.94
476,1549.8,1548.95
477,1550.08,1548.96
478,1549.22,1548.96
479,1549.7,1548.97
480,1549.89,1548.98
481,1550.28,1548.99
482,1549.89,1548.99
483,1549.89,1549.0
484,1549.6,1549.01
485,1550.28,1549.02
486,1549.8,1549.02
487,1549.99,1549.03
488,1549.6,1549.04
489,1550.47,1549.05
490,1549.41,1549.05
491,1549.6,1549.06
492,1549.99,1549.06
493,1550.18,1549.07
494,1549.89,1549.08
495,1549.6,1549.08
496,1550.18,1549.09
497,1550.08,1549.1
498,1550.47,1549.11
499,1549.99,1549.12
500,1549.89,1549.13
501,1550.08,1549.14
502,1550.28,1549.14
503,1550.56,1549.16
504,1550.47,1549.17
505,1550.08,1549.18
506,1550.08,1549.18
507,1550.66,1549.2
508,1551.04,1549.21
509,1550.37,1549.22
510,1550.66,1549.23
511,1550.56,1549.25
512,1549.99,1549.25
513,1550.47,1549.26
514,1550.18,1549.27
515,1550.37,1549.28
516,1550.76,1549.29
517,1550.76,1549.31
518,1550.76,1549.32
519,1550.85,1549.33
520,1550.76,1549.35
521,1550.66,1549.36
522,1550.28,1549.37
523,1550.18,1549.37
524,1550.47,1549.38
525,1550.56,1549.39
526,1549.99,1549.4
527,1550.37,1549.41
528,1549.51,1549.41
529,1550.85,1549.42
530,1550.56,1549.43
531,1550.47,1549.44
532,1550.28,1549.45
533,1550.85,1549.46
534,1550.66,1549.47
535,1550.47,1549.48
536,1550.47,1549.49
537,1550.37,1549.5
538,1550.37,1549.51
539,1550.37,1549.52
540,1551.43,1549.53
541,1550.47,1549.54
542,1550.66,1549.55
543,1550.47,1549.56
544,1550.37,1549.57
545,1551.04,1549.58
546,1550.66,1549.59
547,1550.28,1549.6
548,1550.76,1549.61
549,1550.76,1549.62
550,1550.18,1549.63
551,1550.66,1549.63
552,1550.66,1549.64
553,1550.95,1549.66
554,1550.66,1549.67
555,1550.66,1549.68
556,1551.04,1549.69
557,1550.85,1549.7
558,1550.95,1549.71
559,1550.76,1549.72
560,1551.23,1549.73
561,1550.76,1549.74
562,1550.56,1549.75
563,1550.85,1549.76
564,1550.85,1549.77
565,1550.76,1549.78
566,1551.23,1549.8
567,1550.28,1549.8
568,1550.85,1549.81
569,1551.04,1549.82
570,1551.23,1549.84
571,1550.56,1549.84
572,1550.85,1549.85
573,1550.85,1549.86
574,1551.04,1549.87
575,1550.56,1549.88
576,1550.95,1549.89
577,1550.56,1549.9
