Index, RawAltitude, KalmanAltitude, ax, ay, az, Acceleration, isApogee1, isApogee2, isApogee3
167 , 1568.22, 1570.53, 8.59, -0.27, -7.98, 6.50, 0, 0, 0
168 , 1567.93, 1570.85, 8.89, -0.36, -8.05, 6.63, 0, 0, 0
169 , 1568.22, 1571.17, 9.13, -0.35, -8.59, 5.30, 0, 0, 0
170 , 1567.83, 1571.47, 9.31, -0.20, -9.51, 4.07, 0, 0, 0
171 , 1567.83, 1571.77, 9.48, -0.19, -9.58, 4.03, 0, 0, 0
172 , 1568.31, 1572.07, 9.54, -0.81, -9.80, 1.44, 0, 0, 0
173 , 1568.31, 1572.36, 9.56, -0.39, -10.14, 0.46, 0, 0, 0
174 , 1567.83, 1572.63, 9.55, -0.71, -10.02, 0.42, 0, 0, 0
175 , 1568.02, 1572.89, 9.49, -1.10, -9.97, -0.60, 0, 0, 0
176 , 1568.12, 1573.14, 9.38, -1.41, -9.28, -1.42, 0, 0, 0
177 , 1567.93, 1573.38, 9.31, -1.29, -9.89, -0.29, 0, 0, 0
178 , 1567.83, 1573.60, 9.22, -0.91, -9.84, -0.34, 0, 0, 0
179 , 1567.64, 1573.81, 9.18, -1.22, -9.83, 1.13, 0, 0, 0
180 , 1568.41, 1574.05, 9.23, -2.03, -9.73, 3.50, 0, 0, 0
181 , 1567.74, 1574.27, 9.35, -3.97, -8.76, 5.24, 0, 0, 0
182 , 1568.22, 1574.50, 9.50, -5.46, -5.96, 5.79, 0, 0, 0
183 , 1567.74, 1574.70, 9.61, -7.70, -3.48, 4.68, 0, 0, 0
184 , 1567.83, 1574.90, 9.72, -8.50, -1.83, 4.30, 0, 0, 0
185 , 1567.54, 1575.07, 9.75, -8.27, -1.39, 2.49, 0, 0, 0
186 , 1567.93, 1575.25, 9.74, -9.25, 1.40, 1.62, 0, 0, 0
187 , 1568.22, 1575.43, 9.71, -9.50, 0.04, 0.98, 0, 0, 0
188 , 1568.31, 1575.61, 9.67, -9.36, 0.25, 0.85, 0, 0, 0
189 , 1567.83, 1575.76, 9.61, -9.38, 0.45, 0.79, 0, 0, 0
190 , 1567.93, 1575.91, 9.58, -9.06, -0.10, 1.65, 0, 0, 0
191 , 1567.93, 1576.06, 9.54, -8.86, -0.33, 1.78, 0, 0, 0
192 , 1568.02, 1576.20, 9.51, -9.18, -0.32, 1.75, 0, 0, 0
193 , 1567.83, 1576.33, 9.48, -9.32, -0.58, 1.95, 0, 0, 0
194 , 1567.83, 1576.45, 9.45, -8.84, 0.33, 1.83, 0, 0, 0
195 , 1567.74, 1576.56, 9.40, -9.21, 0.75, 1.70, 0, 0, 0
196 , 1567.83, 1576.67, 9.40, -9.36, -0.61, 2.69, 0, 0, 0
197 , 1568.12, 1576.80, 9.44, -8.49, -1.44, 3.81, 0, 0, 0
198 , 1567.54, 1576.89, 9.42, -9.92, 4.18, 2.46, 0, 0, 0
199 , 1568.22, 1577.00, 9.41, -8.06, 2.10, 2.19, 0, 0, 0
200 , 1567.83, 1577.08, 9.36, -8.21, 2.14, 1.64, 0, 0, 0
201 , 1567.54, 1577.15, 9.30, -8.63, 2.21, 1.33, 0, 0, 0
202 , 1567.83, 1577.23, 9.23, -9.08, 0.86, 0.98, 0, 0, 0
203 , 1567.93, 1577.31, 9.23, -10.28, -0.92, 3.10, 0, 0, 0
204 , 1567.93, 1577.39, 9.25, -9.27, -2.30, 3.80, 0, 0, 0
205 , 1567.93, 1577.47, 9.30, -9.50, -3.59, 3.98, 0, 0, 0
206 , 1568.12, 1577.56, 9.32, -5.62, -6.17, 3.40, 0, 0, 0
207 , 1568.31, 1577.64, 9.32, -4.55, -7.75, 2.59, 0, 0, 0
208 , 1567.74, 1577.69, 9.30, -5.24, -7.86, 2.41, 0, 0, 0
209 , 1568.12, 1577.76, 9.27, -6.26, -8.77, 2.05, 0, 0, 0
210 , 1567.93, 1577.82, 9.24, -3.06, -8.80, 2.07, 0, 0, 0
211 , 1567.74, 1577.86, 9.17, -1.26, -10.46, 1.46, 0, 0, 0
212 , 1568.22, 1577.91, 9.07, -1.13, -10.36, 0.32, 0, 0, 0
213 , 1568.22, 1577.95, 8.93, -1.91, -8.64, -0.45, 0, 0, 0
214 , 1568.12, 1577.99, 8.84, -1.23, -10.69, 1.00, 0, 0, 0
215 , 1568.22, 1578.02, 8.71, -3.61, -9.40, -0.13, 0, 0, 0
216 , 1568.41, 1578.05, 8.54, -4.94, -8.20, -0.96, 0, 0, 0
217 , 1568.22, 1578.06, 8.33, -4.47, -7.98, -1.97, 0, 0, 0
218 , 1568.31, 1578.06, 8.12, -4.68, -7.67, -1.78, 0, 0, 0
219 , 1568.02, 1578.04, 7.89, -6.50, -5.50, -1.94, 0, 0, 0
220 , 1567.93, 1578.02, 7.66, -8.09, -4.04, -1.90, 0, 0, 0
221 , 1568.12, 1577.99, 7.43, -8.80, -2.01, -1.79, 0, 0, 0
222 , 1568.02, 1577.94, 7.19, -9.57, 1.13, -2.26, 0, 0, 0
223 , 1567.93, 1577.88, 6.94, -8.44, 3.14, -2.17, 0, 0, 0
224 , 1568.02, 1577.83, 6.72, -8.23, 4.78, -1.58, 0, 0, 0
225 , 1568.02, 1577.76, 6.54, -7.55, 5.85, -0.40, 0, 0, 0
226 , 1567.64, 1577.68, 6.37, -6.54, 6.06, 0.03, 0, 0, 0
227 , 1567.74, 1577.60, 6.23, -6.92, 6.91, 0.26, 0, 0, 0
228 , 1568.22, 1577.53, 6.11, -6.36, 6.82, 0.74, 0, 0, 0
229 , 1567.74, 1577.45, 5.99, -6.10, 6.48, 0.88, 0, 0, 0
230 , 1568.50, 1577.39, 5.90, -6.24, 6.59, 0.95, 0, 0, 0
231 , 1568.22, 1577.31, 5.80, -6.62, 6.62, 0.85, 0, 0, 0
232 , 1567.93, 1577.21, 5.68, -7.31, 5.22, 0.22, 0, 0, 0
233 , 1567.93, 1577.12, 5.53, -7.86, 5.63, -0.35, 0, 0, 0
234 , 1568.02, 1577.02, 5.38, -9.37, 3.12, -0.53, 0, 0, 0
235 , 1568.02, 1576.91, 5.21, -9.95, 1.23, -1.20, 0, 0, 0
236 , 1568.41, 1576.82, 5.02, -8.44, -1.32, -1.53, 0, 0, 0
237 , 1568.70, 1576.73, 4.83, -8.31, -3.23, -1.71, 0, 0, 0
238 , 1568.12, 1576.61, 4.62, -7.48, -4.16, -2.15, 0, 0, 0
239 , 1568.41, 1576.50, 4.41, -7.44, -4.70, -2.05, 0, 0, 0
240 , 1568.41, 1576.39, 4.21, -7.08, -4.66, -1.69, 0, 0, 0
241 , 1568.02, 1576.26, 3.98, -8.26, -4.12, -2.50, 0, 0, 0
242 , 1568.02, 1576.11, 3.75, -8.07, -3.63, -2.42, 0, 0, 0
243 , 1568.12, 1575.97, 3.52, -8.55, -3.15, -2.44, 0, 0, 0
244 , 1568.41, 1575.83, 3.28, -8.38, -3.15, -2.65, 0, 0, 0
245 , 1568.22, 1575.69, 3.06, -8.49, -2.63, -2.43, 0, 0, 0
246 , 1568.70, 1575.55, 2.83, -8.77, -2.33, -2.49, 0, 0, 0
247 , 1568.60, 1575.41, 2.61, -8.65, -2.22, -2.52, 0, 0, 0
248 , 1568.79, 1575.27, 2.39, -8.81, -2.09, -2.55, 0, 0, 0
249 , 1568.41, 1575.11, 2.17, -8.38, -2.04, -2.59, 0, 0, 0
