Index, Raw, Filtered
321, 1559.87, 1561.66
322, 1559.39, 1561.63
323, 1559.19, 1561.56
324, 1559.10, 1561.48
325, 1559.29, 1561.46
326, 1559.48, 1561.49
327, 1559.00, 1561.41
328, 1559.29, 1561.40
329, 1559.48, 1561.44
330, 1559.19, 1561.40
331, 1559.48, 1561.44
332, 1559.19, 1561.41
333, 1559.39, 1561.42
334, 1559.39, 1561.43
335, 1558.81, 1561.32
336, 1559.19, 1561.31
337, 1559.19, 1561.30
338, 1559.67, 1561.39
339, 1559.39, 1561.41
340, 1559.39, 1561.42
341, 1559.67, 1561.50
342, 1559.39, 1561.49
343, 1559.00, 1561.40
344, 1559.29, 1561.39
345, 1559.19, 1561.36
346, 1559.39, 1561.38
347, 1559.19, 1561.35
348, 1559.19, 1561.33
349, 1559.39, 1561.35
350, 1559.19, 1561.33
351, 1559.19, 1561.31
352, 1559.10, 1561.28
353, 1559.19, 1561.27
354, 1559.39, 1561.31
355, 1558.81, 1561.21
356, 1559.10, 1561.20
357, 1559.10, 1561.19
358, 1559.19, 1561.20
359, 1558.81, 1561.13
360, 1559.19, 1561.14
361, 1559.19, 1561.16
362, 1558.71, 1561.07
363, 1558.81, 1561.02
364, 1559.00, 1561.02
365, 1559.19, 1561.06
366, 1559.00, 1561.05
367, 1558.91, 1561.02
368, 1559.29, 1561.08
369, 1558.52, 1560.95
370, 1558.81, 1560.92
371, 1558.62, 1560.85
372, 1558.81, 1560.84
373, 1558.71, 1560.81
374, 1558.91, 1560.83
375, 1558.52, 1560.76
376, 1558.91, 1560.79
377, 1559.00, 1560.84
378, 1558.81, 1560.84
379, 1558.71, 1560.81
380, 1558.24, 1560.69
381, 1559.39, 1560.84
382, 1558.91, 1560.86
383, 1558.81, 1560.86
384, 1558.52, 1560.79
385, 1558.62, 1560.76
386, 1558.71, 1560.75
387, 1558.43, 1560.68
388, 1558.33, 1560.60
389, 1557.95, 1560.46
390, 1558.24, 1560.40
391, 1558.14, 1560.34
392, 1558.43, 1560.35
393, 1558.62, 1560.41
394, 1558.71, 1560.47
395, 1558.24, 1560.41
396, 1557.76, 1560.26
397, 1558.52, 1560.31
398, 1558.43, 1560.34
399, 1558.62, 1560.40
400, 1557.95, 1560.30
401, 1558.81, 1560.41
402, 1558.43, 1560.42
403, 1558.43, 1560.42
404, 1558.14, 1560.37
405, 1558.52, 1560.41
406, 1558.43, 1560.42
407, 1558.43, 1560.43
408, 1558.24, 1560.40
409, 1558.43, 1560.42
410, 1558.24, 1560.39
411, 1557.85, 1560.29
412, 1557.47, 1560.12
413, 1557.76, 1560.04
414, 1558.33, 1560.11
415, 1557.28, 1559.94
416, 1558.04, 1559.96
417, 1558.43, 1560.07
418, 1558.52, 1560.18
419, 1557.95, 1560.14
420, 1558.24, 1560.17
421, 1557.76, 1560.09
422, 1558.04, 1560.09
423, 1558.24, 1560.12
424, 1557.85, 1560.07
425, 1558.24, 1560.11
426, 1558.43, 1560.19
427, 1557.95, 1560.15
428, 1558.43, 1560.21
429, 1558.14, 1560.20
430, 1558.04, 1560.17
431, 1558.14, 1560.17
432, 1558.14, 1560.16
433, 1557.95, 1560.12
434, 1558.14, 1560.12
435, 1557.76, 1560.03
436, 1558.33, 1560.09
437, 1558.14, 1560.09
